ArraySize,AdditionsPerSecond,ActualRuntime,MinimalRuntime
524288,4785286936.679977,1,1
524288,4793490285.714286,3,2
524288,4766254545.454545,7,4
524288,4792463329.286581,14,8
524288,4792634458.132477,28,16
524288,4790496225.573302,56,32
524288,4793147918.005857,112,64
524288,4793040938.126336,224,128
524288,4793575885.283666,447,256
524288,4794148410.998384,895,512
524288,4791442158.095367,1792,1024
524288,4793773845.997587,3583,2048
524288,4794013962.183648,7167,4096
524288,4794087205.752111,14334,8192
