AllocatedMem,MegaUpdatesPerSecond,ActualRuntime,MinimalRuntime
1,699.454229,1727,1000
2,1659.321568,1637,1000
4,1485.853893,1106,1000
8,1121.766346,1495,1000
16,1267.298312,1489,1000
32,1360.904742,1424,1000
64,1422.559689,1416,1000
128,1427.395379,1422,1000
256,1494.595974,1392,1000
512,1566.618453,1340,1000
1024,1643.713355,1286,1000
2048,1456.978119,1457,1000
4096,1527.117137,1395,1000
8192,792.112654,1347,1000
16384,1532.950197,1395,1000
32768,579.040083,1848,1000
65536,1005.615947,1065,1000
131072,931.023852,1151,1000
